ref,subject,description,status,is_closed,tags,user_story_points,milestone
US-001,"Setup monorepo con pnpm + turborepo","Como equipo, quiero un monorepo con apps y libs separadas para que cada microservicio se desarrolle de forma independiente compartiendo código tipado.\n\n**Criterios de aceptación**\n- pnpm-workspace.yaml definido con apps/* y libs/*.\n- turbo.json con tareas build, test, lint, typecheck.\n- README de root con instrucciones de boot.\n- Pipeline mínima de build verde en CI.","Ready",false,"epic:plataforma,team:A,tipo:tecnica,sprint:0",5,Sprint 0
US-002,"Levantar docker-compose con RabbitMQ + Postgres","Como equipo, quiero docker-compose que levante el stack mínimo (RabbitMQ con plugins delayed-message y shovel, Postgres 16, Adminer, Grafana, Loki, Tempo) para desarrollar localmente.\n\n**Criterios de aceptación**\n- compose up arranca todos los servicios sin errores.\n- Plugin rabbitmq_delayed_message_exchange habilitado.\n- Postgres expone puerto 5432 con user/passwd de dev.\n- README de infra con comandos de boot, reset y logs.","Ready",false,"epic:plataforma,team:A,tipo:tecnica,sprint:0",5,Sprint 0
US-003,"Definir biblioteca compartida libs/events con Zod","Como equipo, quiero esquemas Zod compartidos entre publishers y consumers para que los contratos de eventos sean type-safe y validables en runtime.\n\n**Criterios de aceptación**\n- libs/events/ con un esquema por evento listado en docs/architecture/03-eventos-dominio.md.\n- Validación al publicar y al consumir.\n- Test unitario por esquema.\n- Versión declarada (x-schema-version).","Ready",false,"epic:plataforma,team:B,tipo:tecnica,sprint:0",5,Sprint 0
US-004,"Crear módulo común infra-nestjs (logging, tracing, outbox)","Como equipo, quiero módulos NestJS reutilizables para que los 8 servicios compartan logging estructurado (Pino), tracing OpenTelemetry y outbox pattern sin duplicar código.\n\n**Criterios de aceptación**\n- Módulo LoggingModule con Pino + correlation-id.\n- Módulo TracingModule con OpenTelemetry SDK + propagación AMQP.\n- Módulo OutboxModule con tabla outbox_events + relay (@nestjs/schedule).\n- Documentación de uso en libs/infra-nestjs/README.","Ready",false,"epic:plataforma,team:B,tipo:tecnica,sprint:0",8,Sprint 0
US-005,"Pipeline CI/CD en GitHub Actions","Como equipo, quiero que cada push corra build, lint, type-check y tests por servicio para que la calidad no dependa de la disciplina manual.\n\n**Criterios de aceptación**\n- Workflow ci.yml con matrix por app.\n- Cache de pnpm y turbo.\n- Build de Docker image por servicio (no push en MVP).\n- Badge de estado en README root.","Ready",false,"epic:plataforma,team:A,tipo:tecnica,sprint:0",5,Sprint 0
US-006,"Login con email y password emite JWT","Como cualquier usuario, quiero autenticarme con email y contraseña para recibir un JWT y operar en el sistema (RF.1).\n\n**Criterios de aceptación**\n- POST /auth/login devuelve access token JWT firmado.\n- Token incluye userId, role, sessionId.\n- Contraseñas almacenadas con bcrypt.\n- Tests unitarios y e2e del happy path y de credenciales inválidas.","Ready",false,"epic:auth,team:A,tipo:negocio,sprint:0,RF:RF.1",5,Sprint 0
US-007,"Cambio obligatorio de clave en primer login","Como usuario, debo cambiar mi clave la primera vez que inicio sesión y luego cada 90 días para que mi cuenta cumpla la política de seguridad (RF-C.10, RC.13).\n\n**Criterios de aceptación**\n- Flag must_change_password en BD.\n- Endpoint POST /auth/change-password.\n- Bloqueo de toda otra acción hasta que se cumpla.\n- Política configurable de longitud y complejidad.","New",false,"epic:auth,team:A,tipo:negocio,sprint:0,RF:RF-C.10",3,Sprint 0
US-008,"Saludo personalizado y cierre por inactividad","Como usuario logueado, quiero que el portal muestre mi nombre y cierre mi sesión tras X minutos de inactividad para que mi cuenta no quede expuesta (RS.3, RS.4).\n\n**Criterios de aceptación**\n- Saludo con nombre del usuario en header del portal y tótem.\n- Inactividad configurable: portal 15 min por defecto, tótem mantiene sesión durante el turno (excepción RC.14).\n- Modal de aviso 1 min antes del cierre.","New",false,"epic:auth,team:A,tipo:negocio,sprint:0,RF:RS.3,RF:RS.4",3,Sprint 0
US-009,"Crear usuarios administrativos (Jefe → Coord, Pañolero)","Como Jefe de Carrera, quiero crear y modificar usuarios de perfil Coordinador y Pañolero para conformar el equipo administrativo del pañol (RF.2, RC.08).\n\n**Criterios de aceptación**\n- UI portal sección Administración → Usuarios.\n- Validaciones de unicidad de documento y email.\n- Solo roles Jefe y (transitivamente) Coord pueden ver esta sección.\n- Baja lógica (no hard delete).\n- Publica user.created/user.updated.","New",false,"epic:auth,team:A,tipo:negocio,sprint:0,RF:RF.2",5,Sprint 0
US-010,"Identificación sin RUT chileno","Como usuario internacional o sin RUT, quiero identificarme con DNI, pasaporte u otro ID para registrarme en el sistema (RF-C.12, RC.04).\n\n**Criterios de aceptación**\n- Campo documento permite cualquier formato alfanumérico hasta 30 caracteres.\n- Tipo_documento enum: RUT, DNI, PASAPORTE, OTRO.\n- Unicidad por (tipo_documento, documento).\n- No hay validación de dígito verificador chileno.","New",false,"epic:auth,team:B,tipo:negocio,sprint:0,RF:RF-C.12",2,Sprint 0
US-011,"Crear alumnos individualmente","Como Coordinador, quiero crear alumnos uno a uno para registrar a un estudiante que se incorporó tarde a la carrera (RF.3, RS-CC.1).\n\n**Criterios de aceptación**\n- Form con nombres, apellidos, documento, email, carrera.\n- Validación obligatoria de nombres en plural (SP.13).\n- Genera contraseña inicial aleatoria que se entrega por canal seguro.\n- Marca must_change_password=true.","New",false,"epic:auth,team:B,tipo:negocio,sprint:0,RF:RF.3",3,Sprint 0
US-012,"Importar alumnos desde Excel/CSV","Como Coordinador, quiero subir un archivo Excel con alumnos para registrar a la generación entrante de un golpe (RS-CC.2, RF.3 alterno).\n\n**Criterios de aceptación**\n- Drag-and-drop en portal acepta .xlsx y .csv.\n- Validación pre-import: fila por fila, errores reportados antes de persistir.\n- Reporte de éxito/fallo descargable.\n- Idempotente: si una fila ya existe (por documento) se omite con warning.","New",false,"epic:auth,team:B,tipo:negocio,sprint:0,RF:RF.3",5,Sprint 0
US-013,"Tótem en modo kiosko (shell Vite + React)","Como Pañolero, quiero que el tótem arranque en pantalla completa sin barra de navegador para que no haya distracciones durante la atención.\n\n**Criterios de aceptación**\n- Vite + React + Zustand inicial.\n- Modo fullscreen automático al login.\n- Sesión persistente durante el turno.\n- Configuración por env: URL del API gateway.","New",false,"epic:totem,team:B,tipo:tecnica,sprint:0",5,Sprint 0
US-014,"Portal Next.js con login","Como Alumno, Docente, Coord o Jefe, quiero entrar al portal para usar las funciones de mi perfil.\n\n**Criterios de aceptación**\n- Next.js 14 con App Router.\n- Página /login y middleware de auth.\n- Redirecciones por rol (alumno → /home, jefe → /admin, etc.).\n- TanStack Query configurado.","New",false,"epic:portal,team:A,tipo:tecnica,sprint:0",5,Sprint 0
US-015,"CRUD de recursos del inventario","Como Pañolero o Jefe, quiero crear, modificar y dar de baja recursos del inventario para mantener actualizado el catálogo (RF.4, RC.03, RC.18).\n\n**Criterios de aceptación**\n- Form con nombre, descripción, categoría (Material/Herramienta/Equipo), stock, unidad.\n- Baja lógica (estado=BAJA).\n- Publica stock.changed con motivo.\n- Auditoría de cambios.","New",false,"epic:inventario,team:B,tipo:negocio,sprint:1,RF:RF.4",5,Sprint 1
US-016,"Imagen 150x100 del recurso","Como Pañolero, al crear un recurso quiero subir una imagen 150x100 px para que aparezca en el portal y en el tótem (RC.09, RS-PN.1).\n\n**Criterios de aceptación**\n- Upload con preview.\n- Validación de tamaño exacto 150x100 px (con redimensionamiento sugerido si excede).\n- Almacenamiento en object storage (filesystem local en MVP).\n- Reflejada en listados y detalle.","New",false,"epic:inventario,team:B,tipo:negocio,sprint:1,RF:RF.4",3,Sprint 1
US-017,"Estado En Mantención de un recurso","Como Pañolero o Jefe, quiero marcar un recurso como En Mantención para que no aparezca disponible mientras se repara (RF-C.08, RC.18).\n\n**Criterios de aceptación**\n- Estado adicional en RC.18.\n- Transiciones: Disponible → En_Mantencion → Disponible o Baja.\n- Recursos En_Mantencion no aparecen en validador de disponibilidad.\n- Auditoría con motivo y fecha estimada de retorno.","New",false,"epic:inventario,team:B,tipo:negocio,sprint:1,RF:RF-C.08",3,Sprint 1
US-018,"Crear solicitud web","Como Alumno o Docente, quiero crear una solicitud desde el portal seleccionando recursos y fecha de retiro para asegurar disponibilidad antes de ir al pañol (RF.5).\n\n**Criterios de aceptación**\n- UI con buscador de recursos y carrito.\n- Validación de disponibilidad pre-confirmación (Request-Reply a inventory-svc).\n- Confirmación dispara transición Borrador → Reservada.\n- Notificación in-app de confirmación.","New",false,"epic:solicitudes,team:A,tipo:negocio,sprint:1,RF:RF.5",8,Sprint 1
US-019,"Workflow de estados de solicitud","Como sistema, quiero que cada solicitud transite los estados Borrador, Reservada, Materializada, Materializada_Parcial, Cancelada, Expirada para que el flujo sea trazable (RC.16).\n\n**Criterios de aceptación**\n- Máquina de estados implementada en request-svc.\n- Transiciones inválidas rechazadas.\n- Tabla request_state_history para auditoría.\n- Test de cada transición.","New",false,"epic:solicitudes,team:A,tipo:negocio,sprint:1,RF:RC.16",5,Sprint 1
US-020,"TTL de reserva con Message Expiration","Como sistema, quiero que las reservas expiren automáticamente al cumplirse el TTL configurable para liberar el stock sin job externo (RF-C.01, RC.06).\n\n**Criterios de aceptación**\n- Exchange domain.delayed con plugin x-delayed-message.\n- request-svc publica request.expire al crear solicitud con header x-delay=ttl_ms.\n- Al recibir el mensaje, valida estado actual y publica request.expired si aplica.\n- inventory-svc libera reserva.\n- Configurable por Jefe (default 4h).","New",false,"epic:solicitudes,team:A,tipo:negocio,sprint:1,RF:RF-C.01",8,Sprint 1
US-021,"Workflow con blacklist en creación de solicitud","Como sistema, quiero que un usuario en blacklist no pueda crear solicitudes para forzar el cumplimiento de la regla de morosidad (RF-C.04, RC.01, RC.10).\n\n**Criterios de aceptación**\n- request-svc consulta auth-svc por bloqueo activo.\n- Si está bloqueado, retorna 403 con motivo.\n- Notificación in-app al usuario explicando la causa.\n- Test con casos blacklist y unblacklist.","New",false,"epic:solicitudes,team:A,tipo:negocio,sprint:1,RF:RF-C.04",5,Sprint 1
US-022,"Validar solicitud en tótem ítem por ítem","Como Pañolero, quiero abrir la solicitud por documento del solicitante y marcar disponibilidad real ítem por ítem para confirmar que puedo entregar lo solicitado (RF.6, CN.05).\n\n**Criterios de aceptación**\n- UI tótem busca por documento o ID.\n- Lista ítems con checkbox disponible_real.\n- No materializa hasta que el Pañolero confirme.\n- Acción sensible: requiere PIN.","New",false,"epic:totem,team:A,tipo:negocio,sprint:1,RF:RF.6",5,Sprint 1
US-023,"PIN de cuatro dígitos para acciones sensibles","Como sistema, quiero que validar, prestar, devolver y dar de baja exijan re-ingresar PIN de 4 dígitos del Pañolero para reducir el riesgo de uso indebido del tótem (RF-C.09, RC.14).\n\n**Criterios de aceptación**\n- Modal de PIN con 4 dígitos numéricos.\n- 3 intentos antes de bloquear y forzar re-login.\n- Logging de cada validación de PIN (éxito/fracaso) en auditoría.","New",false,"epic:totem,team:A,tipo:negocio,sprint:1,RF:RF-C.09",3,Sprint 1
US-024,"Materializar solicitud en préstamo","Como Pañolero, quiero confirmar la materialización de la solicitud para crear el préstamo y descontar el stock (RF.7, RC.07, RC.17).\n\n**Criterios de aceptación**\n- loan-svc crea préstamo en estado Activo.\n- Genera ticketId correlativo.\n- Publica loan.issued (Outbox).\n- Solicitud transita a Materializada.\n- Concurrencia optimista contra otra materialización simultánea.","New",false,"epic:prestamos,team:A,tipo:negocio,sprint:1,RF:RF.7",8,Sprint 1
